VenueID,VenueType,SummaryLength,RedactedTokens,InferenceTime_ms,Score,AgentID
1,Hospital,142,19,866.44,0.66,A1025
1,Hospital,114,10,1295.67,0.94,A1759
1,Hospital,139,7,1025.74,0.67,A1281
1,Hospital,97,21,1042.45,0.6,A1250
1,Hospital,128,16,468.27,0.62,A1228
1,Hospital,54,29,1381.03,0.64,A1142
1,Hospital,90,11,1967.85,0.62,A1754
1,Hospital,90,6,1318.27,0.67,A1104
1,Hospital,57,3,1228.54,0.75,A1692
1,Hospital,129,20,1399.4,0.69,A1758
1,Hospital,131,14,1484.65,0.92,A1913
1,Hospital,74,13,1674.26,0.75,A1558
1,Hospital,89,7,1065.98,0.68,A1089
1,Hospital,43,21,1657.27,0.61,A1604
1,Hospital,185,25,546.5,0.96,A1432
1,Hospital,134,15,886.83,0.73,A1032
1,Hospital,79,20,756.44,0.92,A1030
1,Hospital,193,24,984.05,0.71,A1095
1,Hospital,163,12,1297.23,0.63,A1223
1,Hospital,110,8,1084.48,0.9,A1238
1,Hospital,175,23,1479.18,0.84,A1517
1,Hospital,80,27,1403.33,0.94,A1616
1,Hospital,111,11,1056.25,0.72,A1027
1,Hospital,76,2,1144.3,0.83,A1574
1,Hospital,74,0,1298.05,0.93,A1203
1,Hospital,44,25,1175.66,0.69,A1733
1,Hospital,181,6,1154.84,0.68,A1665
1,Hospital,135,6,910.33,0.79,A1718
1,Hospital,135,3,1134.1,0.76,A1558
1,Hospital,68,3,1307.13,0.97,A1429
1,Hospital,110,26,1411.49,0.84,A1225
1,Hospital,101,24,1308.28,0.64,A1459
1,Hospital,67,27,1075.57,0.94,A1603
1,Hospital,167,25,780.38,0.65,A1284
1,Hospital,168,24,795.18,0.66,A1828
1,Hospital,194,8,894.28,0.79,A1890
1,Hospital,90,9,1335.88,0.73,A1006
1,Hospital,135,23,1150.18,0.87,A1777
1,Hospital,152,29,1194.43,0.72,A1825
1,Hospital,152,23,697.95,0.61,A1163
1,Hospital,152,1,1002.25,0.71,A1714
1,Hospital,168,18,1201.18,0.87,A1432
1,Hospital,92,11,1789.51,0.83,A1348
1,Hospital,162,16,618.03,0.88,A1284
1,Hospital,63,4,1621.56,0.81,A1159
1,Hospital,183,0,1617.7,0.66,A1220
1,Hospital,109,15,1229.9,0.86,A1980
1,Hospital,186,25,1048.96,0.8,A1781
1,Hospital,186,19,881.31,0.87,A1344
1,Hospital,167,6,1342.08,0.97,A1104
1,Hospital,168,10,965.02,0.96,A1094
1,Hospital,81,2,1103.38,0.69,A1389
1,Hospital,183,25,1203.91,0.7,A1099
1,Hospital,168,15,1313.33,0.98,A1367
1,Hospital,76,26,1019.58,0.87,A1867
1,Hospital,170,19,946.02,0.95,A1352
1,Hospital,159,0,995.99,0.66,A1618
1,Hospital,143,19,1269.68,0.83,A1270
1,Hospital,151,29,904.39,0.79,A1826
1,Hospital,107,0,871.82,0.79,A1044
1,Hospital,87,19,1602.95,0.88,A1747
1,Hospital,167,0,979.64,0.81,A1470
1,Hospital,154,21,933.15,0.98,A1549
1,Hospital,148,18,955.26,0.95,A1127
1,Hospital,66,26,1203.9,0.82,A1996
1,Hospital,100,15,1636.06,0.71,A1944
1,Hospital,74,16,665.02,0.94,A1387
1,Hospital,163,8,1127.06,0.97,A1080
1,Hospital,132,16,1835.67,0.98,A1565
1,Hospital,155,28,1663.96,0.75,A1300
1,Hospital,106,17,1413.03,0.87,A1849
1,Hospital,143,13,1227.74,0.64,A1643
1,Hospital,71,14,1517.23,0.89,A1633
1,Hospital,176,10,1215.41,0.88,A1906
1,Hospital,78,28,999.92,0.7,A1882
1,Hospital,191,12,692.45,0.63,A1370
1,Hospital,174,24,845.02,0.63,A1591
1,Hospital,183,13,1348.5,0.95,A1196
1,Hospital,182,27,731.83,0.86,A1721
1,Hospital,90,24,1800.1,0.66,A1071
1,Hospital,164,21,1075.64,0.61,A1046
1,Hospital,109,14,1224.06,0.74,A1677
1,Hospital,140,0,1037.61,0.98,A1233
1,Hospital,142,3,1433.05,0.93,A1791
1,Hospital,155,29,1843.18,0.88,A1296
1,Hospital,52,17,1390.18,0.8,A1081
1,Hospital,197,18,1001.46,0.77,A1875
1,Hospital,129,4,1455.73,0.67,A1238
1,Hospital,101,22,1734.39,0.62,A1887
1,Hospital,161,0,996.78,0.77,A1103
1,Hospital,135,29,1255.16,0.8,A1389
1,Hospital,108,21,1373.37,0.88,A1284
1,Hospital,115,25,1580.07,0.61,A1464
1,Hospital,108,14,987.7,0.62,A1650
1,Hospital,183,25,1409.73,0.74,A1854
1,Hospital,140,22,1379.97,0.62,A1373
1,Hospital,108,3,1161.48,0.84,A1166
1,Hospital,135,0,1060.3,0.81,A1379
1,Hospital,43,15,1259.72,0.61,A1363
1,Hospital,167,26,1019.93,0.91,A1214
2,Research Lab,179,17,889.68,0.92,A1718
2,Research Lab,140,11,1261.28,0.75,A1959
2,Research Lab,113,10,1284.3,0.63,A1699
2,Research Lab,47,28,1013.19,0.93,A1663
2,Research Lab,129,29,1023.19,0.65,A1073
2,Research Lab,153,12,1454.88,0.97,A1623
2,Research Lab,159,3,1334.59,0.81,A1650
2,Research Lab,140,8,1176.38,0.82,A1175
2,Research Lab,138,15,1089.67,0.83,A1546
2,Research Lab,190,29,1035.68,0.82,A1746
2,Research Lab,51,16,1543.31,0.69,A1250
2,Research Lab,69,16,1457.36,0.81,A1167
2,Research Lab,123,15,736.5,0.64,A1473
2,Research Lab,139,11,947.18,0.97,A1388
2,Research Lab,186,11,1317.61,0.86,A1276
2,Research Lab,91,18,1162.64,0.79,A1947
2,Research Lab,183,20,1260.57,0.82,A1655
2,Research Lab,92,22,958.58,0.9,A1704
2,Research Lab,78,12,1297.36,0.88,A1570
2,Research Lab,115,8,1702.59,0.9,A1224
2,Research Lab,184,28,1122.47,0.69,A1701
2,Research Lab,176,17,1555.04,0.95,A1332
2,Research Lab,44,28,765.57,0.92,A1863
2,Research Lab,110,24,777.76,0.83,A1786
2,Research Lab,75,5,1150.84,0.75,A1794
2,Research Lab,130,9,1758.23,0.95,A1057
2,Research Lab,78,29,1109.3,0.78,A1234
2,Research Lab,97,19,1198.63,0.65,A1841
2,Research Lab,100,8,1452.05,0.69,A1032
2,Research Lab,152,24,1540.0,0.94,A1824
2,Research Lab,156,5,630.98,0.62,A1323
2,Research Lab,186,19,1379.73,0.63,A1410
2,Research Lab,86,8,989.46,0.99,A1274
2,Research Lab,93,21,909.87,0.75,A1067
2,Research Lab,51,9,1856.94,0.71,A1216
2,Research Lab,131,3,957.51,0.78,A1935
2,Research Lab,99,17,960.53,0.7,A1965
2,Research Lab,194,21,798.65,0.61,A1580
2,Research Lab,196,12,803.93,0.96,A1897
2,Research Lab,148,4,1749.44,0.61,A1735
2,Research Lab,72,21,1288.64,0.75,A1322
2,Research Lab,125,26,870.8,0.93,A1217
2,Research Lab,137,8,721.67,0.62,A1671
2,Research Lab,45,27,1020.19,0.92,A1511
2,Research Lab,134,4,1201.57,0.9,A1405
2,Research Lab,122,16,1214.09,0.69,A1905
2,Research Lab,149,0,1236.09,0.69,A1936
2,Research Lab,152,7,1354.33,0.84,A1658
2,Research Lab,131,7,1199.51,0.79,A1469
2,Research Lab,42,26,1072.19,0.72,A1146
2,Research Lab,93,11,1507.97,0.76,A1271
2,Research Lab,151,14,1249.83,0.76,A1142
2,Research Lab,124,13,910.52,0.65,A1252
2,Research Lab,77,17,1405.82,0.83,A1762
2,Research Lab,69,14,1465.82,0.74,A1574
2,Research Lab,118,27,1158.88,0.72,A1551
2,Research Lab,145,18,1490.59,0.78,A1269
2,Research Lab,184,9,1393.72,0.9,A1764
2,Research Lab,123,23,1238.41,0.74,A1598
2,Research Lab,165,10,1055.6,0.83,A1438
2,Research Lab,154,14,869.62,0.73,A1919
2,Research Lab,135,2,1346.3,0.8,A1597
2,Research Lab,199,17,790.3,0.92,A1408
2,Research Lab,131,9,1351.23,0.67,A1370
2,Research Lab,188,5,1167.89,0.68,A1224
2,Research Lab,73,16,889.43,0.8,A1141
2,Research Lab,84,26,990.08,0.94,A1521
